ema;institucion;nombre_ema;comuna;region;latitud;longitud;fecha_de_alta
230;METEOVID;Ventisquero-Peralillo;Peralillo;O'Higgins;-34,394444444;-71,445555556;2013-03-08T06:49:11Z
231;METEOVID;Montes;Marchihue;O'Higgins;-34,340555556;-71,652222222;2013-03-08T06:49:11Z
232;METEOVID;Lapostolle-Apalta;Santa Cruz;O'Higgins;-34,593611111;-71,302222222;2013-03-08T06:49:12Z
233;METEOVID;Conosur;Chimbarongo;O'Higgins;-34,715555556;-71,038611111;2013-03-08T06:49:11Z
234;METEOVID;Hacienda Araucano-Lolol;Peralillo;O'Higgins;-34,727222222;-71,588888889;2013-03-08T06:49:11Z
236;METEOVID;Ventisquero-Apalta;Santa Cruz;O'Higgins;-34,608055556;-71,246944444;2013-03-08T06:49:12Z
238;METEOVID;Aresti;Molina;Maule;-35,151388889;-71,298055556;2013-03-08T06:49:11Z
239;METEOVID;Viñedos Puertas;Curicó;Maule;-34,986944444;-71,279722222;2013-03-08T06:49:11Z
240;METEOVID;Casas Patronales;San Clemente;Maule;-35,491666667;-71,445555556;2013-03-08T06:49:12Z
241;METEOVID;J. Bouchon;San Javier;Maule;-35,569166667;-71,995277778;2013-03-08T06:49:12Z
242;METEOVID;Torres;San Javier;Maule;-35,567222222;-72,290000000;2013-03-08T06:49:12Z
244;METEOVID;Odjfell;Cauquenes;Maule;-36,144722222;-72,265833333;2013-03-08T06:49:11Z
245;METEOVID;Guilisasti;Mulchén;Biobío;-37,648333333;-72,216111111;2013-03-08T06:49:11Z
246;METEOVID;Garcés Silva;San Antonio;Valparaíso;-33,681388889;-71,495833333;2013-03-08T06:49:11Z
247;METEOVID;Morandé;San Bernardo;Metropolitana;-33,581388889;-70,716666667;2013-03-08T06:49:12Z
248;METEOVID;San Pedro-El Tránsito;Paine;Metropolitana;-33,771111111;-70,685555556;2013-03-08T06:49:11Z
249;METEOVID;Santa Carolina;Paine;Metropolitana;-33,599722222;-70,649722222;2013-03-08T06:49:11Z
250;METEOVID;San Pedro-Totihue;Totihue;O'Higgins;-34,341111111;-70,727777778;2013-03-08T06:49:12Z
251;METEOVID;Luis Felipe Edwards;Colchagua;O'Higgins;-34,693055556;-71,156944444;2013-03-08T06:49:11Z
252;METEOVID;San Pedro-Molina;Molina;Maule;-35,103055556;-71,338333333;2013-03-08T06:49:11Z
253;METEOVID;San Pedro-Pencahue;Pencahue;Maule;-35,333888889;-71,769166667;2013-03-08T06:49:11Z
254;METEOVID;El Aromo;Duao;Maule;-35,535555556;-71,598333333;2013-03-08T06:49:11Z
260;INIA;Hidango;Litueche;O'Higgins;-34,100000000;-71,800000000;2013-05-08T12:24:25Z
261;INIA;Caspana;Calama;Antofagasta;-22,334515000;-68,213597000;2013-05-08T12:24:25Z
263;INIA;Codpa;Camarones;Arica y Parinacota;-18,833055556;-69,744444444;2013-05-08T12:24:25Z
264;INIA;Tierra del Fuego;Primavera;Magallanes;-52,804319889;-69,273691000;2013-05-08T12:24:25Z
265;INIA;El Claro;Coyhaique;Aysén;-45,981200000;-72,092267000;2013-05-08T12:24:25Z
266;INIA;Las Lomas;Máfil;Los Ríos;-39,700929000;-73,014793000;2013-05-08T12:24:25Z
267;INIA;San Antonio de Naltahua;Isla de Maipo;Metropolitana;-33,725439000;-71,042558000;2013-05-08T12:24:25Z
268;INIA;San Pedro de Melipilla;San Pedro;Metropolitana;-33,897935000;-71,452881000;2013-05-08T12:24:25Z
269;INIA;Santa Carla;Panguipulli;Los Ríos;-39,679571000;-72,611389000;2013-05-08T12:24:25Z
270;INIA;Isla Riesco-Río Verde;Río Verde;Magallanes;-53,030495000;-71,933637000;2013-05-08T12:24:25Z
